C90F8ABA-1788-4406-B3A2-0037FB07DC92 Cole Inc                                                                                                                                                                                                2023-12-05 4.47                                     Bcjf)xTs08SU
D33C95A8-13C0-4040-8991-00C350E0D6B3 Farrell, Parisian and Cremin                                                                                                                                                                            2024-09-11 4.74                                     4sv7&CH!Dqg%
97046A25-61A1-4A89-B290-010A75B05B23 Rohan, Miller and Stark                                                                                                                                                                                 2022-11-06 2.40                                     M%n*^UBcNPAB
1A84C9EF-5DC7-480B-90CD-013751D18CCD Blick, Waelchi and Crist                                                                                                                                                                                2023-12-03 .93                                      P5!*BWdsD2sF
769F75D9-5F3B-419D-9AF3-014A6426D48D Breitenberg - Daugherty                                                                                                                                                                                 2023-02-04 4.00                                     VFW!evoxBe0i
0F10D5E5-61E5-4484-8949-017D4D9EF494 Ruecker, Mayert and Hudson                                                                                                                                                                              2024-01-19 .44                                      jpjFjOrBV4ZM
867D8ED4-BC34-46AF-B1E5-0218CF90C1B0 Fadel and Sons                                                                                                                                                                                          2020-04-29 3.52                                     ^lVwsGbadnvU
9D0EBBA1-4862-421E-92A5-0233135F6AD4 Miller Group                                                                                                                                                                                            2024-09-28 2.11                                     *&8@YjRMScDx
F951C7BB-7290-47BE-B052-024006086026 Stamm - Bernier                                                                                                                                                                                         2022-05-09 5.00                                     o1k*t*!7$alc
25BB1CC5-AEB3-4497-BEBF-02B4F0717FF2 Schuster - McKenzie                                                                                                                                                                                     2023-02-12 4.19                                     CZIbFXixggr*
155C7D2C-68FD-467D-96AD-02B6E20643BC Hoeger, Schmitt and Bode                                                                                                                                                                                2021-12-28 2.38                                     *Kqhbo#JmbXl
D4A1B202-9765-497C-B295-02E345E48E73 Hodkiewicz and Sons                                                                                                                                                                                     2022-03-16 1.76                                     $h5wTxu2w1p6
6E4B3FD3-AF70-4C19-91B7-033E493D481D Mosciski - Kautzer                                                                                                                                                                                      2020-12-25 3.68                                     229)(@gfP$aw
111561D7-150C-4EF6-ABD8-034A32B04E2E Kub LLC                                                                                                                                                                                                 2024-05-07 .57                                      5vIv#L2tSlJw
F2A4D413-06C3-4614-802B-0480A9823960 Buckridge - Farrell                                                                                                                                                                                     2022-03-14 1.47                                     @oM)FQnrC2ZC
B010A8B9-66FC-4255-AD84-04A16C2CB859 Wolf, Goldner and Quitzon                                                                                                                                                                               2024-06-21 2.71                                     5q)2^4Ptq4db
6C9EAF24-B476-4403-9866-04DDEF93F4D0 Conroy - Sawayn                                                                                                                                                                                         2022-06-16 3.73                                     gyn@%hP5FZ7h
1670A6C4-28FD-4C28-8CC1-05A3A671D3E6 Flatley, Lockman and Kutch                                                                                                                                                                              2021-12-07 .42                                      6#h382Ccyz3C
52D27E1E-6E64-4899-B9A9-05B513905D9C Boyer Group                                                                                                                                                                                             2020-05-04 4.45                                     Erd23o^2GpG4
6526C5F6-8F5C-4BBA-A1AC-061C9CDCF06F Rempel Inc                                                                                                                                                                                              2024-09-19 2.99                                     bI6@bf&TaxXQ
6EEDBCE5-AF7C-4E0B-BD1C-0667A0906084 Durgan - Rolfson                                                                                                                                                                                        2022-10-07 .58                                      k#iy6vsszBn5
3AA88D60-304C-4A0F-AA0C-06844C72EC40 Little and Sons                                                                                                                                                                                         2023-03-02 3.47                                     bttYV!yi$B)*
75898528-4AC5-41BC-BEC7-06DF005B144A Shields LLC                                                                                                                                                                                             2021-06-02 4.89                                     n$SJIr8PKIhM
608E1D9C-BC73-47D8-AB06-07324805198E Bailey - Frami                                                                                                                                                                                          2025-01-22 .64                                      N7wber8hwILV
7B36D6D9-8DCC-4C29-8038-075B3020A543 Hessel and Sons                                                                                                                                                                                         2023-03-05 1.47                                     K)!z5lZ$L$eF
07D41EDF-F760-4907-A46B-07BC729D7C47 Bahringer - Quitzon                                                                                                                                                                                     2020-07-09 4.42                                     ^AU)nvxjfUQv
2A212C73-477B-466E-BC24-07CC8F5CBEB2 Pouros - Daniel                                                                                                                                                                                         2025-03-04 1.41                                     kdzc!WbQx*QT
11C65EBE-3C7B-4752-90C4-07EC8A1D2179 Kreiger - Rohan                                                                                                                                                                                         2022-06-22 1.39                                     9qYz^9As4Up&
4038CBD7-29C3-4342-BF09-083C95B89D31 Strosin, Krajcik and Stroman                                                                                                                                                                            2022-07-01 4.51                                     B8dqchvoQU33
543B78EB-F0A5-45CB-821D-085DC3014CCE Reynolds - Champlin                                                                                                                                                                                     2022-09-08 3.11                                     9!GV(51m%J42
A4E8DE49-9D08-4D34-A29C-08D58469495A Emard, Pouros and Fadel                                                                                                                                                                                 2023-06-01 .68                                      zmJojbYiAmky
1FE1E620-1137-46F3-9318-08EC289E5E63 Sipes and Sons                                                                                                                                                                                          2025-01-15 1.55                                     vSGZflOEv3hU
CA91E788-4B4F-45B7-BF79-09226A13AC7E Bosco - Gerhold                                                                                                                                                                                         2024-04-27 2.91                                     UHLprs@(1NHg
1D7659AB-015F-4F09-AFA0-09452A34D5FC Abernathy, Stiedemann and Schultz                                                                                                                                                                       2020-04-10 1.77                                     @5EtMi4W@ild
4FE314F5-261F-4D11-AD12-09ADBC29052D Schamberger - Littel                                                                                                                                                                                    2021-04-28 .22                                      T2@(EOdaO6*S
E2A50F25-04E6-4D1D-8F54-0AA785D385A6 Farrell, Powlowski and Heidenreich                                                                                                                                                                      2024-10-28 4.44                                     $S7NP#bHMOtP
EE9EB676-1A9A-473B-9BC8-0AFC88124923 Sawayn - Watsica                                                                                                                                                                                        2023-08-28 1.14                                     O91sW*nbrghh
672AC643-2819-4553-9CC9-0AFD5C89A4F6 Schimmel LLC                                                                                                                                                                                            2020-09-25 .90                                      E*0c9XbW@r5q
